"Greater Toronto, ON","Greater Vancouver, BC","Fairfield, CT","New York, NY","Nassau, NY","Queens, NY","Sussex, DE","Fulton, GA","Broward, FL","Miami-Dade, FL","Palm Beach, FL","Hillsborough, FL","Lee, FL","Sarasota, FL","Hennepin, MN","Lake, IL","Cook, IL","St. Louis, MO","Dallas, TX","Tarrant, TX","Harris, TX","Bexar, TX","Maricopa, AZ","Clark, NV","Los Angeles, CA","Orange, CA","Riverside, CA","San Diego, CA","King, WA"
919944.786029471,2177457.37220934,1180795.1522155,4569963.14477044,1147499.41309262,697435.183348495,1210982.33082888,842557.624729175,355022.951581666,1786102.79171071,970194.139769179,601214.101629568,577033.670371326,810688.772473958,703401.662699003,384594.991002859,523397.179349314,392552.294303956,757771.936123794,392256.212597767,368064.208619598,-64.0954292658716,456162.365432183,-158140.61400404,1255357.88146409,1404069.66301795,846421.296193035,829391.231832426,843405.053160578
1009944.78602947,3554249.06775297,1438896.31694041,6736733.14478734,1138155.38687673,671368.435288249,347921.743942015,458997.091181804,1109962.53149384,1943594.53342382,968030.316955984,238281.061138477,620968.929549493,387036.024489063,670210.269728508,384594.991002859,523397.179349314,392552.294303956,726169.979707761,412966.26498442,329524.389067146,333683.165909611,626721.361665195,324036.519257176,1703859.84053382,1292069.66301795,959268.85120264,689147.230995997,1551591.27655209
934944.786029471,2049628.71662939,1898463.85345882,5419963.14477044,275191.179489909,1084408.33504389,2394608.80735813,697124.480239237,2640724.80996301,1691938.67789578,1099800.92428469,629886.311098481,677033.848716176,532471.112494459,670210.269728508,436680.189813885,533255.962487353,415060.580372665,754657.155624711,456641.429537976,654938.468542305,-583183.830479796,538815.032262789,509441.101516473,1581718.66742989,1120930.27714012,1291275.87871005,793457.565066617,328396.64023374
794784.716807824,3529637.22754717,1296781.28583218,5243193.14475354,913203.449978271,583334.688597239,337921.743942015,984448.17112946,125487.096019564,500345.256673399,1126420.30510768,83590.7339063556,246050.803593464,663010.31392877,611733.552503308,670562.86833963,551600.541316526,415060.580372665,692516.436683135,335173.109377613,729018.302489929,514190.961326426,383997.523826428,665625.258012041,1529895.56287526,943692.013171535,714384.495468555,1016640.02761468,950963.246462259
970043.786029471,1429206.39767653,1145290.99503579,1652263.14460142,1217480.73336407,864371.613455564,337921.743942015,164105.259306446,644063.428909167,1264158.51815197,1086907.45396424,608839.860849172,456298.530351928,599397.204411075,710191.691759469,670562.86833963,458934.534293777,396498.479167535,469838.353206503,401014.135199988,723988.193118522,447956.04716038,422899.564206339,86490.83140263,1795037.36055332,1890814.47523731,586744.535628386,879933.513808877,1240139.42876475
1025825.49117716,6151106.00642287,-191265.825612757,5769963.14477044,1170690.25748138,1013439.59519906,337921.743942015,1118914.78905258,670163.428909167,711683.45019548,628435.8192322,317176.811953851,-97678.7069837636,-2358461.84762524,842416.631445968,604808.393032614,458934.534293777,396498.479167535,728330.745716488,236949.279332219,675340.401764334,620258.472608698,395900.679875395,324043.570366176,2188670.32367948,1847635.30118627,1038438.68640326,898768.6136354,1064693.04359359
944574.398844803,7395684.78472357,1018665.90587991,5343192.14475354,1273736.63913156,892120.193722416,240567.965560277,556177.078970269,678163.428909167,1098555.04531816,807753.839293972,390340.533728297,11742996.6903469,531733.195284502,842416.631445968,583105.264247602,334660.005822756,494614.2450588,894722.733142476,309542.704024408,1180957.45277062,459383.466094979,332708.12283192,333818.595709255,1885641.45788637,15917.6098692777,806248.136529515,1077709.4581661,798884.140302024
1307280.16017281,1489556.0598389,869301.702539988,8146732.14478734,1995390.07348985,713468.435288249,409058.41857058,693261.631102326,646931.395891959,1449988.01955722,829460.850251758,472883.716746717,-124499.037953402,1100667.89541527,460330.772935587,583105.264247602,512241.577795031,494614.2450588,672475.167080043,506323.020282293,775163.663271568,69911.947138678,546686.038054261,298718.595709255,2436622.73858474,1810487.54136908,745912.681625855,797211.328672565,753569.686650749
889762.55371867,3009084.48008555,685698.623105934,3493193.14475354,1759972.6861664,688368.435288249,409058.41857058,250362.302072666,694063.428909167,1312628.81065959,-792276.264938987,586706.094369336,-414220.000695449,607397.204411075,797714.947461934,374636.851160803,512241.577795031,577664.630260879,841026.986225969,284481.557280157,674992.054950245,378054.174748651,410767.61053812,502539.765719306,1279168.05413377,1371256.76813924,1007326.68640326,396351.622859347,1376008.85400066
790725.491177161,862129.402412866,1348624.80272444,3979082.15584278,1772203.42943809,687493.558976063,336567.965560277,1024200.51740615,694098.226264818,1060118.55693465,1033463.14342177,413374.300208133,-459604.180098583,474769.828270106,735255.658477415,392744.815718619,508796.152366207,577664.630260879,649011.443984761,398768.34400957,749938.468542305,351824.648696126,520715.779803779,318818.595709255,153857.892330592,1323505.41369465,676992.650931407,1064219.39723054,438284.320786361
